ROWNUM,project_id,+PRIVILEGES,object_id,creationDate,dataProductIdentifier,dataProductIdentifierName,dataProductIdentifierSource,dataProductType,fileFormat,filename,globalname,isDirty,isValid,processIdentifier,processIdentifierName,processIdentifierSource,releaseDate,storageWriter,storageWriterVersion,OBJECT_ID$
1,402630,4,D51FB4CAB9C760E8E043C616A9C39085,2013-02-07 10:01:51,3895673,"L86662_SAP000_SB022_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB022_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
2,402630,4,D51FB4CAB9C860E8E043C616A9C39085,2013-02-07 10:01:51,3895674,"L86662_SAP000_SB023_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB023_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
3,402630,4,D51FB4CAB9C960E8E043C616A9C39085,2013-02-07 10:01:51,3895675,"L86662_SAP000_SB024_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB024_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
4,402630,4,D51FB4CAB9CA60E8E043C616A9C39085,2013-02-07 10:01:51,3895676,"L86662_SAP000_SB025_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB025_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
5,402630,4,D51FB4CAB9CB60E8E043C616A9C39085,2013-02-07 10:01:51,3895677,"L86662_SAP000_SB026_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB026_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
6,402630,4,D51FB4CAB9CC60E8E043C616A9C39085,2013-02-07 10:01:51,3895678,"L86662_SAP000_SB027_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB027_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
7,402630,4,D51FB4CAB9CD60E8E043C616A9C39085,2013-02-07 10:01:51,3895679,"L86662_SAP000_SB028_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB028_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
8,402630,4,D51FB4CAB9CE60E8E043C616A9C39085,2013-02-07 10:01:51,3895680,"L86662_SAP000_SB029_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB029_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
9,402630,4,D51FB4CAB9CF60E8E043C616A9C39085,2013-02-07 10:01:51,3895681,"L86662_SAP000_SB030_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB030_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
10,402630,4,D51FB4CAB9D060E8E043C616A9C39085,2013-02-07 10:01:51,3895682,"L86662_SAP000_SB031_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB031_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
11,402630,4,D51FB4CAB9D160E8E043C616A9C39085,2013-02-07 10:01:51,3895683,"L86662_SAP000_SB032_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB032_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
12,402630,4,D51FB4CAB9D260E8E043C616A9C39085,2013-02-07 10:01:51,3895684,"L86662_SAP000_SB033_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB033_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
13,402630,4,D51FB4CAB9D360E8E043C616A9C39085,2013-02-07 10:01:51,3895685,"L86662_SAP000_SB034_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB034_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
14,402630,4,D51FB4CAB9D460E8E043C616A9C39085,2013-02-07 10:01:51,3895686,"L86662_SAP000_SB035_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB035_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
15,402630,4,D51FB4CAB9D560E8E043C616A9C39085,2013-02-07 10:01:51,3895687,"L86662_SAP000_SB036_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB036_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
16,402630,4,D51FB4CAB9D660E8E043C616A9C39085,2013-02-07 10:01:51,3895688,"L86662_SAP000_SB037_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB037_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
17,402630,4,D51FB4CAB9D760E8E043C616A9C39085,2013-02-07 10:01:51,3895689,"L86662_SAP000_SB038_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB038_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
18,402630,4,D51FB4CAB9D860E8E043C616A9C39085,2013-02-07 10:01:51,3895690,"L86662_SAP000_SB039_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB039_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
19,402630,4,D51FB4CAB9D960E8E043C616A9C39085,2013-02-07 10:01:51,3895691,"L86662_SAP000_SB040_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB040_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
20,402630,4,D51FB4CAB9DA60E8E043C616A9C39085,2013-02-07 10:01:51,3895692,"L86662_SAP000_SB041_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB041_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
21,402630,4,D51FB4CAB9DB60E8E043C616A9C39085,2013-02-07 10:01:51,3895693,"L86662_SAP000_SB042_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB042_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
22,402630,4,D51FB4CAB9DC60E8E043C616A9C39085,2013-02-07 10:01:51,3895694,"L86662_SAP000_SB043_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB043_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
23,402630,4,D51FB4CAB9DD60E8E043C616A9C39085,2013-02-07 10:01:51,3895695,"L86662_SAP000_SB044_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB044_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
24,402630,4,D51FB4CAB9DE60E8E043C616A9C39085,2013-02-07 10:01:51,3895696,"L86662_SAP000_SB045_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB045_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
25,402630,4,D51FB4CAB9DF60E8E043C616A9C39085,2013-02-07 10:01:51,3895697,"L86662_SAP000_SB046_inst.INST","MoM","Instrument Model","AIPS++/CASA","L86662_SAP000_SB046_inst.INST",,0,2,203129,"Cal. Pipeline 8","MoM",2015-03-01 00:00:00,"CasaStorageManagers","unknown",InstrumentModelDataProduct
