ROWNUM,project_id,+PRIVILEGES,object_id,centerDEC,centerRA,creation_date,heightDEC,is_valid,llDEC,llRA,lrDEC,lrRA,ulDEC,ulRA,urDEC,urRA,widthRA,OBJECT_ID$
1,402545,4,D585A6DED67F6AECE043C616A9C366D5,50.6138424524454,140.650409838071,2013-02-12 11:39:23,1.98315520067873,1,49.6224272498895,142.181489524174,49.62226658209,139.119588552071,51.6054217827688,142.247181884305,51.6052541950332,139.053379391735,3.19380249256946,BoundingBox
2,402545,4,D585AA4D8B5E6B2CE043C616A9C3A8ED,50.6046029577524,140.647778893962,2013-02-12 11:40:20,2.83266982773718,1,49.1885981988491,142.816130740334,49.1882730893476,138.479954117752,52.0209429170848,142.950251633885,52.0205976257281,138.344779083876,4.6054725500089,BoundingBox
3,402545,4,D585B10F58FD6B60E043C616A9C3399C,50.5914883877498,140.645144934409,2013-02-12 11:42:14,3.68170377526689,1,48.7511924539063,143.439921319912,48.7506475897957,137.851258628704,52.4323513650626,143.666703230148,52.4317621422346,137.62269655887,6.04400667127845,BoundingBox
4,402545,4,D585B248FB546B83E043C616A9C3EA2C,50.6118948252371,140.649752339959,2013-02-12 11:42:34,2.19556997761511,1,49.5143087028697,142.341185499084,49.5141121843753,138.958635883731,51.7096821619904,142.421716318186,51.7094762517129,138.877471658837,3.54424465934881,BoundingBox
5,402545,4,D585B52645BF6BAFE043C616A9C3CA71,50.6104623542068,140.649313925377,2013-02-12 11:43:22,2.33716755185424,1,49.4421037871604,142.447263604642,49.441881410776,138.851723102927,51.7790489626302,142.538526636083,51.7788152562607,138.759742357857,3.77878427822631,BoundingBox
6,402545,4,D585B6A4F3D06BE3E043C616A9C3FFCE,50.5834709309617,140.643826573992,2013-02-12 11:43:47,4.10598913830545,1,48.5311668286984,143.747851494813,48.5304917539686,137.540908474664,52.636480892274,144.030071658971,52.6357442489058,137.256474667522,6.77359699144847,BoundingBox
7,402545,4,D585B7C5E5826C08E043C616A9C3F103,50.6046029577524,140.647778893962,2013-02-12 11:44:06,2.83266982773718,1,49.1885981988491,142.816130740334,49.1882730893476,138.479954117752,52.0209429170848,142.950251633885,52.0205976257281,138.344779083876,4.6054725500089,BoundingBox
8,402545,4,D585B8DDCDAC6C34E043C616A9C3B13C,50.613220042168,140.65019068789,2013-02-12 11:44:25,2.05396245612426,1,49.5864129616535,142.234798955159,49.5862407361945,139.065859597686,51.6402031923187,142.305269523465,51.6400232785052,138.994834675249,3.31043484821555,BoundingBox
9,402545,4,D585B9F813A46C40E043C616A9C31662,50.607275346031,140.64843688085,2013-02-12 11:44:43,2.62032984018656,1,49.2973931797433,142.658500804193,49.2971144188036,138.638824000604,51.9174442589902,142.773245074741,51.9171495265868,138.523177643863,4.25006743087792,BoundingBox
10,402545,4,D585BB1493146C4EE043C616A9C37F5B,50.5974250725404,140.646242835843,2013-02-12 11:45:02,3.3280085645299,1,48.9338756399941,143.181305795084,48.9334289771872,138.111907264303,52.2614375417171,143.366530034689,52.2609581312632,137.925228249295,5.44130178539345,BoundingBox
11,402545,4,D585BD3010746C86E043C616A9C312ED,50.6089225542872,140.648875440286,2013-02-12 11:45:37,2.47875442446104,1,49.3697985142592,142.553034849262,49.3695487215936,138.745119668703,51.8483031460546,142.655702283993,51.8480398352416,138.641644959187,4.01405732480541,BoundingBox
12,402545,4,D585BE64A5F76C97E043C616A9C38A57,50.6138424524454,140.650409838071,2013-02-12 11:45:57,1.98315520067873,1,49.6224272498895,142.181489524174,49.62226658209,139.119588552071,51.6054217827688,142.247181884305,51.6052541950332,139.053379391735,3.19380249256946,BoundingBox
13,402545,4,D585C46E59BE6D24E043C616A9C31BDB,50.6016884068279,140.647120718447,2013-02-12 11:47:39,3.04497977946567,1,49.0795797004018,142.973082550728,49.0792047856903,138.321767880279,52.124184565156,143.128094521367,52.1237845760635,138.165537921416,4.96255659995083,BoundingBox
14,402545,4,D585D7672D427015E043C616A9C3CA51,50.6118948252371,140.649752339959,2013-02-12 11:52:57,2.19556997761511,1,49.5143087028697,142.341185499084,49.5141121843753,138.958635883731,51.7096821619904,142.421716318186,51.7094762517129,138.877471658837,3.54424465934881,BoundingBox
15,402545,4,D585DFF4617670CAE043C616A9C39F93,50.5834709309617,140.643826573992,2013-02-12 11:55:21,4.10598913830545,1,48.5311668286984,143.747851494813,48.5304917539686,137.540908474664,52.636480892274,144.030071658971,52.6357442489058,137.256474667522,6.77359699144847,BoundingBox
16,402545,4,D651AF2ED5544742E043C616A9C3F7F6,50.6089225542872,140.648875440286,2013-02-22 15:04:28,2.47875442446104,1,49.3697985142592,142.553034849262,49.3695487215936,138.745119668703,51.8483031460546,142.655702283993,51.8480398352416,138.641644959187,4.01405732480541,BoundingBox
17,402545,4,D651B01577EA4775E043C616A9C3B494,50.613220042168,140.65019068789,2013-02-22 15:04:44,2.05396245612426,1,49.5864129616535,142.234798955159,49.5862407361945,139.065859597686,51.6402031923187,142.305269523465,51.6400232785052,138.994834675249,3.31043484821555,BoundingBox
18,402545,4,D7B34CDA50966616E043C616A9C35D59,50.5728809448492,140.642287154907,2013-03-12 04:58:16,4.60075723570171,1,48.273367845156,144.10383397776,48.2725239985731,137.182129586734,52.8732812342748,144.458423253966,52.8723507013927,136.82476180117,7.63366145279653,BoundingBox
19,402545,4,D7B4B208983C321DE043C616A9C3F3BB,50.6089225542872,140.648875440286,2013-03-12 06:38:09,2.47875442446104,1,49.3697985142592,142.553034849262,49.3695487215936,138.745119668703,51.8483031460546,142.655702283993,51.8480398352416,138.641644959187,4.01405732480541,BoundingBox
20,402545,4,D7B4B935E73633F8E043C616A9C38C44,50.613220042168,140.65019068789,2013-03-12 06:40:09,2.05396245612426,1,49.5864129616535,142.234798955159,49.5862407361945,139.065859597686,51.6402031923187,142.305269523465,51.6400232785052,138.994834675249,3.31043484821555,BoundingBox
21,402635,4,E1C09539EDAB2646E043C616A9C3807D,16.1611675088486,343.489178040231,2013-07-18 04:00:25,2.84190448776304,1,14.7402351790887,344.958534648353,14.7402153368061,342.019842233544,17.5821198245692,344.979795916816,17.5820996949303,341.99853936221,2.98125655460615,BoundingBox
22,402635,4,E1C09551D0CC2653E043C616A9C3670F,16.1611675088486,343.489178040231,2013-07-18 04:00:26,2.84190448776304,1,14.7402351790887,344.958534648353,14.7402153368061,342.019842233544,17.5821198245692,344.979795916816,17.5820996949303,341.99853936221,2.98125655460615,BoundingBox
23,402635,4,E1C095D61AEF2665E043C616A9C33F14,16.1611675088486,343.489178040231,2013-07-18 04:00:35,2.84190448776304,1,14.7402351790887,344.958534648353,14.7402153368061,342.019842233544,17.5821198245692,344.979795916816,17.5820996949303,341.99853936221,2.98125655460615,BoundingBox
24,402635,4,E1C095ED9BBF2679E043C616A9C333CB,16.1611675088486,343.489178040231,2013-07-18 04:00:36,2.84190448776304,1,14.7402351790887,344.958534648353,14.7402153368061,342.019842233544,17.5821198245692,344.979795916816,17.5820996949303,341.99853936221,2.98125655460615,BoundingBox
25,402635,4,E1C096308103264BE043C616A9C317AE,16.1611675088486,343.489178040231,2013-07-18 04:00:41,2.84190448776304,1,14.7402351790887,344.958534648353,14.7402153368061,342.019842233544,17.5821198245692,344.979795916816,17.5820996949303,341.99853936221,2.98125655460615,BoundingBox
